"","Soil.temp.mean","Elevation.m"
"1",22.1,841
"2",22.16666667,832
"3",22.03333333,848
"4",22.53333333,839
"5",22,780
"6",22.16666667,842
"7",22.23333333,839
"8",22.16666667,823
"9",22.13333333,832
"10",22.03333333,831
"11",22.43333333,914
"12",22.46666667,860
"13",22.46666667,843
"14",22.3,927
"15",22.5,859
"16",22.53333333,861
"17",22.36666667,859
"18",22.43333333,840
"19",22.66666667,852
"20",22.26666667,861
"21",25.73333333,412
"22",25.93333333,411
"23",26.2,411
"24",26.13333333,407
"25",26.33333333,404
"26",26.06666667,401
"27",26.7,415
"28",26,408
"29",25.66666667,410
"30",26.26666667,378
"31",13.7,3213
"32",13.2,3211
"33",13.56666667,3211
"34",13.43333333,3216
"35",13.43333333,3206
"36",13.43333333,3216
"37",13.73333333,3218
"38",13.46666667,3206
"39",13.26666667,3224
"40",13.4,3211
"41",13.5,3202
"42",18.23333333,1520
"43",17.63333333,1519
"44",18.96666667,1521
"45",17.8,1520
"46",18.23333333,1515
"47",17.83333333,1511
"48",18.1,1512
"49",17.9,1527
"50",18.46666667,1520
"51",17.86666667,1513
"52",18.3,1456
"53",18.76666667,1446
"54",17.8,1458
"55",18.63333333,1457
"56",18.5,1451
"57",18.13333333,1461
"58",18.23333333,1464
"59",18.36666667,1449
"60",18.46666667,1530
"61",17.7,1513
"62",17.3,1530
"63",17.9,1510
"64",17.8,1510
"65",17.83333333,1503
"66",18.66666667,1516
"67",17.83333333,1554
"68",18.36666667,1536
"69",18.06666667,1543
"70",17.93333333,1775
"71",18.36666667,1795
"72",18.16666667,1787
"73",18,1735
"74",17.93333333,1787
"75",NA,1788
"76",18.06666667,1783
"77",18.36666667,1778
"78",18.33333333,1794
"79",18.03333333,1775
"80",18.13333333,1776
"81",17.96666667,1763
"82",17.33333333,1783
"83",18.1,1753
"84",17.96666667,1760
"85",18.53333333,1755
"86",18.3,1766
"87",18.03333333,1749
"88",18.83333333,1757
"89",12.7,2739
"90",12.3,2739
"91",12.83333333,2737
"92",12.2,2740
"93",12.76666667,2737
"94",12.46666667,2739
"95",12.83333333,2729
"96",12.3,2736
"97",12.23333333,2737
"98",12.8,2727
"99",12.96666667,2730
"100",13.16666667,2724
"101",12.7,2727
"102",13.1,2727
"103",13,2728
"104",13.06666667,2728
"105",13.06666667,2732
"106",13,2734
"107",12.93333333,2732
"108",14.9,2090
"109",15.5,2012
"110",15.4,2026
"111",16.73333333,2023
"112",15.06666667,2026
"113",15.3,2023
"114",16.06666667,2016
"115",15.7,2026
"116",16.36666667,2031
"117",16.76666667,2012
"118",15.66666667,2012
"119",15.86666667,2024
"120",15.26666667,2022
"121",15.43333333,2012
"122",15.33333333,2029
"123",16,2029
"124",15.76666667,2029
"125",15.53333333,2023
"126",15.66666667,2036
"127",16.06666667,2031
"128",16.33333333,2036
"129",16.23333333,2032
"130",16.83333333,2027
"131",15.6,2030
"132",15.73333333,2025
"133",15.86666667,2035
"134",16.2,2022
"135",15.8,2023
"136",15.5,2013
"137",15.93333333,2030
"138",15.86666667,2013
"139",15.96666667,2024
"140",15.63333333,2012
"141",16.33333333,2013
"142",16.2,2028
"143",15.46666667,2028
"144",15.16666667,2028
"145",15.5,2031
"146",15.2,2027
"147",14.66666667,2307
"148",14.36666667,2280
"149",14.36666667,2288
"150",14.83333333,2294
"151",15.76666667,2284
"152",14.63333333,2291
"153",14.56666667,2280
"154",15,2283
"155",15.03333333,2281
"156",14.43333333,2281
"157",14.5,2292
"158",14.2,2280
"159",16.4,2281
"160",14.3,2279
"161",13.73333333,2283
"162",14.3,2289
"163",15.73333333,2283
"164",14.6,2261
"165",14.7,2267
"166",14.6,2289
"167",14.8,2292
"168",13.83333333,2252
"169",14.2,2278
"170",13.3,2291
"171",14.46666667,2286
"172",15.36666667,2282
"173",14.76666667,2266
"174",14.96666667,2261
"175",13.6,2289
"176",14.73333333,2251
"177",16.2,2261
"178",18.93333333,1881
"179",18.4,1894
"180",18.66666667,1885
"181",18.1,1866
"182",15.9,1872
"183",19.56666667,1860
"184",17.06666667,1827
"185",17.6,1820
"186",17.4,1881
"187",16.83333333,1872
"188",16.96666667,1827
"189",16.26666667,1813
"190",15.86666667,1815
"191",15.63333333,1811
"192",16.03333333,1814
"193",15.96666667,1812
"194",16.8,1789
"195",16.36666667,1791
"196",16.73333333,1789
"197",16.53333333,1813
"198",16,1817
"199",18.16666667,1860
"200",18.2,1832
"201",19.36666667,1805
"202",18.55,1831
"203",18,1822
"204",18.06666667,1818
"205",18.23333333,1848
"206",17.53333333,1817
"207",17.26666667,1872
"208",18.8,1820
"209",16.7,1841
"210",16.23333333,1849
"211",17.3,1861
"212",18.63333333,1849
"213",17.16666667,1862
"214",16.63333333,1860
"215",16.03333333,1823
"216",17,1834
"217",18.7,1862
"218",17,1791
"219",16.23333333,1838
"220",16.16666667,1814
"221",16.13333333,1791
"222",16.83333333,1792
"223",15.43333333,1796
"224",16.3,1846
"225",17.26666667,1791
"226",17.63333333,1792
"227",17.23333333,1838
